,Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind_Speed,Wind_Pres,Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
22379,1951136N32292,1951,2, NA, NA,ABLE,1951-05-17 18:00, TS,27.5,-78.9,70,983,atcf,78.944,79.919,main
22382,1951136N32292,1951,2, NA, NA,ABLE,1951-05-18 12:00, TS,27.0,-77.9,75,982,atcf,82.04299999999999,80.705,main
22383,1951136N32292,1951,2, NA, NA,ABLE,1951-05-18 18:00, TS,27.2,-77.5,70,985,atcf,78.944,77.843,main
22386,1951136N32292,1951,2, NA, NA,ABLE,1951-05-19 12:00, TS,28.1,-76.6,75,982,atcf,82.04299999999999,80.705,main
22388,1951136N32292,1951,2, NA, NA,ABLE,1951-05-20 0:00, TS,29.5,-76.0,75,980,atcf,82.04299999999999,82.079,main
22391,1951136N32292,1951,2, NA, NA,ABLE,1951-05-20 18:00, TS,32.4,-75.2,75,979,atcf,82.04299999999999,83.38,main
22394,1951136N32292,1951,2, NA, NA,ABLE,1951-05-21 12:00, TS,35.6,-74.2,75,978,atcf,82.04299999999999,84.226,main
22395,1951136N32292,1951,2, NA, NA,ABLE,1951-05-21 18:00, TS,36.1,-73.8,75,976,atcf,82.04299999999999,85.417,main
22398,1951136N32292,1951,2, NA, NA,ABLE,1951-05-22 12:00, TS,36.6,-71.1,80,973,atcf,85.15,87.16799999999999,main
22402,1951136N32292,1951,2, NA, NA,ABLE,1951-05-23 12:00, TS,37.3,-65.0,75,984,atcf,82.04299999999999,78.971,main
22407,1951136N32292,1951,2, NA, NA,ABLE,1951-05-24 18:00, TS,40.5,-58.7,35,994,atcf,32.623000000000005,65.46600000000001,main
22417,1951214N21307,1951,3, NA, NA,BAKER,1951-08-04 12:00, TS,31.9,-60.8,45,999,atcf,50.43600000000001,56.052,main
22422,1951214N21307,1951,3, NA, NA,BAKER,1951-08-05 18:00, TS,40.6,-56.1,50,996,atcf,58.681999999999995,62.059,main
22437,1951224N12316,1951,4, NA, NA,CHARLIE,1951-08-15 12:00, TS,14.4,-58.9,55,999,atcf,64.41199999999999,56.052,main
22441,1951224N12316,1951,4, NA, CS,CHARLIE,1951-08-16 12:00, TS,15.9,-66.7,65,992,atcf,74.042,69.087,main
22445,1951224N12316,1951,4, NA, CS,CHARLIE,1951-08-17 12:00, TS,16.6,-73.1,85,978,atcf,87.38600000000001,84.226,main
22446,1951224N12316,1951,4, NA, CS,CHARLIE,1951-08-17 18:00, TS,17.1,-74.6,95,971,atcf,91.67,88.219,main
22452,1951224N12316,1951,4, NA, CS,CHARLIE,1951-08-19 0:00, TS,18.9,-82.2,80,982,atcf,85.15,80.705,main
22454,1951224N12316,1951,4, NA, CS,CHARLIE,1951-08-19 12:00, TS,19.4,-84.5,85,976,atcf,87.38600000000001,85.417,main
22462,1951224N12316,1951,4, NA, GM,CHARLIE,1951-08-21 0:00, TS,21.6,-91.6,65,989,atcf,74.042,73.154,main
22465,1951224N12316,1951,4, NA, GM,CHARLIE,1951-08-21 18:00, TS,21.6,-94.3,65,988,atcf,74.042,74.059,main
22466,1951224N12316,1951,4, NA, GM,CHARLIE,1951-08-22 0:00, TS,21.7,-94.9,70,982,atcf,78.944,80.705,main
22468,1951224N12316,1951,4, NA, GM,CHARLIE,1951-08-22 12:00, TS,22.1,-96.6,85,972,atcf,87.38600000000001,87.74,main
22469,1951224N12316,1951,4, NA, GM,CHARLIE,1951-08-22 18:00, TS,22.2,-97.5,100,968,atcf,92.94,90.116,main
22470,1951224N12316,1951,4, NA, GM,CHARLIE,1951-08-22 19:00, TS,22.3,-97.8,100,968,atcf,92.94,90.116,main
22502,1951239N12334,1951,5, NA, CS,DOG,1951-09-03 0:00, TS,14.3,-64.3,70,992,atcf,78.944,69.087,main
22505,1951239N12334,1951,5, NA, CS,DOG,1951-09-03 18:00, TS,14.8,-69.4,70,993,atcf,78.944,67.99600000000001,main
22508,1951239N12334,1951,5, NA, CS,DOG,1951-09-04 12:00, TS,15.1,-74.2,45,1004,atcf,50.43600000000001,38.284,main
22534,1951244N13328,1951,6, NA, NA,EASY,1951-09-06 12:00, TS,22.3,-60.6,90,967,atcf,89.126,90.559,main
22535,1951244N13328,1951,6, NA, NA,EASY,1951-09-06 18:00, TS,22.6,-61.9,100,957,atcf,92.94,94.259,main
22539,1951244N13328,1951,6, NA, NA,EASY,1951-09-07 18:00, TS,25.4,-66.9,125,937,atcf,98.469,98.463,main
22607,1951263N19267,1951,8, NA, GM,GEORGE,1951-09-20 18:00, TS,20.8,-95.2,50,999,atcf,58.681999999999995,56.052,main
22624,1951272N20274,1951,9, NA, GM,HOW,1951-10-01 12:00, TS,26.1,-86.8,40,1003,atcf,42.727,42.121,main
22633,1951272N20274,1951,9, NA, NA,HOW,1951-10-03 12:00, TS,31.4,-76.5,75,982,atcf,82.04299999999999,80.705,main
22634,1951272N20274,1951,9, NA, NA,HOW,1951-10-03 18:00, TS,32.1,-76.1,80,979,atcf,85.15,83.38,main
22638,1951272N20274,1951,9, NA, NA,HOW,1951-10-04 18:00, TS,34.9,-74.0,80,975,atcf,85.15,85.94,main
22641,1951272N20274,1951,9, NA, NA,HOW,1951-10-05 12:00, TS,36.9,-71.6,85,972,atcf,87.38600000000001,87.74,main
22646,1951272N20274,1951,9, NA, NA,HOW,1951-10-06 18:00, ET,40.3,-61.2,75,963,atcf,82.04299999999999,92.14,main
22674,1951285N16280,1951,10, NA, CS,ITEM,1951-10-14 18:00, TS,20.5,-81.8,55,1000,atcf,64.41199999999999,51.358999999999995,main
22678,1951285N16280,1951,10, NA, CS,ITEM,1951-10-15 18:00, TS,21.1,-81.9,55,998,atcf,64.41199999999999,57.788999999999994,main
22681,1951285N16280,1951,10, NA, CS,ITEM,1951-10-16 12:00, TS,21.7,-82.0,25,1009,atcf,5.031000000000001,9.984,main
22690,1951288N28284,1951,11, NA, NA,JIG,1951-10-16 0:00, TS,31.1,-74.4,65,990,atcf,74.042,71.294,main
22692,1951288N28284,1951,11, NA, NA,JIG,1951-10-16 12:00, TS,31.7,-73.3,60,1000,atcf,69.835,51.358999999999995,main
22694,1951288N28284,1951,11, NA, NA,JIG,1951-10-17 0:00, TS,32.4,-71.9,55,999,atcf,64.41199999999999,56.052,main
22793,1952231N15341,1952,2, NA, NA,ABLE,1952-08-27 12:00, TS,21.9,-64.6,55,1003,atcf,64.41199999999999,42.121,main
22794,1952231N15341,1952,2, NA, NA,ABLE,1952-08-27 18:00, TS,22.2,-65.6,60,998,atcf,69.835,57.788999999999994,main
22797,1952231N15341,1952,2, NA, NA,ABLE,1952-08-28 12:00, TS,24.2,-69.3,55,1002,atcf,64.41199999999999,45.641999999999996,main
22798,1952231N15341,1952,2, NA, NA,ABLE,1952-08-28 18:00, TS,25.1,-70.6,50,1003,atcf,58.681999999999995,42.121,main
22801,1952231N15341,1952,2, NA, NA,ABLE,1952-08-29 12:00, TS,27.4,-74.9,60,999,atcf,69.835,56.052,main
22805,1952231N15341,1952,2, NA, NA,ABLE,1952-08-30 12:00, TS,29.8,-79.5,70,992,atcf,78.944,69.087,main
22806,1952231N15341,1952,2, NA, NA,ABLE,1952-08-30 18:00, TS,30.7,-79.9,80,983,atcf,85.15,79.919,main
22823,1952241N32282,1952,3, NA, NA,UNNAMED,1952-08-28 0:00, TS,33.3,-78.2,45,1000,atcf,50.43600000000001,51.358999999999995,main
22824,1952241N32282,1952,3, NA, NA,UNNAMED,1952-08-28 2:00, TS,33.7,-78.7,45,1000,atcf,50.43600000000001,51.358999999999995,main
22832,1952244N15306,1952,4, NA, NA,BAKER,1952-09-01 6:00, TS,18.2,-58.7,60,1003,atcf,69.835,42.121,main
22837,1952244N15306,1952,4, NA, NA,BAKER,1952-09-02 12:00, TS,22.8,-63.0,65,993,atcf,74.042,67.99600000000001,main
22838,1952244N15306,1952,4, NA, NA,BAKER,1952-09-02 18:00, TS,23.7,-64.2,65,996,atcf,74.042,62.059,main
22841,1952244N15306,1952,4, NA, NA,BAKER,1952-09-03 12:00, TS,25.9,-67.1,65,993,atcf,74.042,67.99600000000001,main
22842,1952244N15306,1952,4, NA, NA,BAKER,1952-09-03 18:00, TS,26.5,-68.0,65,993,atcf,74.042,67.99600000000001,main
22846,1952244N15306,1952,4, NA, NA,BAKER,1952-09-04 18:00, TS,30.7,-70.7,70,983,atcf,78.944,79.919,main
22850,1952244N15306,1952,4, NA, NA,BAKER,1952-09-05 18:00, TS,33.1,-71.0,70,983,atcf,78.944,79.919,main
22853,1952244N15306,1952,4, NA, NA,BAKER,1952-09-06 12:00, TS,34.3,-69.7,75,981,atcf,82.04299999999999,81.437,main
22854,1952244N15306,1952,4, NA, NA,BAKER,1952-09-06 18:00, TS,35.1,-69.0,80,978,atcf,85.15,84.226,main
22858,1952244N15306,1952,4, NA, NA,BAKER,1952-09-07 18:00, TS,40.4,-60.1,95,969,atcf,91.67,89.833,main
22902,1952268N20291,1952,6, NA, NA,CHARLIE,1952-09-25 18:00, TS,26.5,-74.6,70,993,atcf,78.944,67.99600000000001,main
22903,1952268N20291,1952,6, NA, NA,CHARLIE,1952-09-26 0:00, TS,27.2,-74.9,75,989,atcf,82.04299999999999,73.154,main
22905,1952268N20291,1952,6, NA, NA,CHARLIE,1952-09-26 12:00, TS,29.0,-74.3,95,969,atcf,91.67,89.833,main
22909,1952268N20291,1952,6, NA, NA,CHARLIE,1952-09-27 12:00, TS,33.8,-68.6,100,958,atcf,92.94,93.96700000000001,main
22933,1952269N13311,1952,7, NA, NA,DOG,1952-09-26 18:00, TS,16.6,-54.0,60,998,atcf,69.835,57.788999999999994,main
22936,1952269N13311,1952,7, NA, NA,DOG,1952-09-27 12:00, TS,18.0,-55.5,45,1002,atcf,50.43600000000001,45.641999999999996,main
22937,1952269N13311,1952,7, NA, NA,DOG,1952-09-27 18:00, TS,18.7,-55.9,45,1001,atcf,50.43600000000001,49.193000000000005,main
22940,1952269N13311,1952,7, NA, NA,DOG,1952-09-28 12:00, TS,20.4,-57.0,40,1001,atcf,42.727,49.193000000000005,main
22945,1952269N13311,1952,7, NA, NA,DOG,1952-09-29 18:00, TS,21.5,-58.9,30,1009,atcf,17.645,9.984,main
22948,1952269N13311,1952,7, NA, NA,DOG,1952-09-30 12:00, TS,22.1,-59.6,25,1008,atcf,5.031000000000001,15.950999999999999,main
22976,1952281N15309,1952,9, NA, NA,EASY,1952-10-07 18:00, TS,16.7,-50.6,50,995,atcf,58.681999999999995,63.38,main
22980,1952281N15309,1952,9, NA, NA,EASY,1952-10-08 18:00, TS,18.0,-50.4,90,968,atcf,89.126,90.116,main
22984,1952281N15309,1952,9, NA, NA,EASY,1952-10-09 18:00, TS,17.7,-49.4,40,1001,atcf,42.727,49.193000000000005,main
22997,1952295N11282,1952,10, NA, CS,FOX,1952-10-21 18:00, TS,16.6,-81.8,45,1003,atcf,50.43600000000001,42.121,main
23001,1952295N11282,1952,10, NA, CS,FOX,1952-10-22 18:00, TS,17.3,-82.0,60,993,atcf,69.835,67.99600000000001,main
23004,1952295N11282,1952,10, NA, CS,FOX,1952-10-23 12:00, TS,18.3,-82.0,110,942,atcf,95.559,97.777,main
23008,1952295N11282,1952,10, NA, CS,FOX,1952-10-24 12:00, TS,21.0,-81.3,120,940,atcf,97.803,98.10600000000001,main
23009,1952295N11282,1952,10, NA, CS,FOX,1952-10-24 18:00, TS,22.0,-80.9,125,934,atcf,98.469,98.898,main
23013,1952295N11282,1952,10, NA, NA,FOX,1952-10-25 18:00, TS,24.4,-78.4,60,991,atcf,69.835,70.415,main
23014,1952295N11282,1952,10, NA, NA,FOX,1952-10-25 19:00, TS,24.4,-78.3,60,991,atcf,69.835,70.415,main
23021,1952295N11282,1952,10, NA, NA,FOX,1952-10-27 0:00, TS,24.4,-74.5,55,994,atcf,64.41199999999999,65.46600000000001,main
23034,1952330N23300,1952,11, NA, NA,UNNAMED,1952-11-26 6:00, TS,27.4,-54.8,45,992,atcf,50.43600000000001,69.087,main
23073,1953146N14278,1953,1, NA, CS,ALICE,1953-05-30 18:00, TS,20.5,-84.0,40,1000,atcf,42.727,51.358999999999995,main
23078,1953146N14278,1953,1, NA, GM,ALICE,1953-05-31 18:00, TS,22.2,-84.5,40,1003,atcf,42.727,42.121,main
23082,1953146N14278,1953,1, NA, GM,ALICE,1953-06-01 18:00, TS,24.2,-85.4,50,997,atcf,58.681999999999995,59.766000000000005,main
23083,1953146N14278,1953,1, NA, GM,ALICE,1953-06-02 0:00, TS,24.0,-85.2,50,996,atcf,58.681999999999995,62.059,main
23086,1953146N14278,1953,1, NA, GM,ALICE,1953-06-02 18:00, TS,23.1,-84.3,40,999,atcf,42.727,56.052,main
23099,1953146N14278,1953,1, NA, GM,ALICE,1953-06-06 0:00, TS,28.7,-85.8,55,994,atcf,64.41199999999999,65.46600000000001,main
23129,1953223N23286,1953,3, NA, NA,BARBARA,1953-08-12 12:00, TS,29.1,-75.6,60,1005,atcf,69.835,32.311,main
23131,1953223N23286,1953,3, NA, NA,BARBARA,1953-08-13 0:00, TS,30.5,-76.1,65,1002,atcf,74.042,45.641999999999996,main
23133,1953223N23286,1953,3, NA, NA,BARBARA,1953-08-13 12:00, TS,32.3,-76.5,65,995,atcf,74.042,63.38,main
23134,1953223N23286,1953,3, NA, NA,BARBARA,1953-08-13 18:00, TS,33.4,-76.4,70,987,atcf,78.944,75.141,main
23141,1953223N23286,1953,3, NA, NA,BARBARA,1953-08-14 18:00, TS,37.6,-74.9,80,973,atcf,85.15,87.16799999999999,main
23171,1953240N14340,1953,4, NA, NA,CAROL,1953-09-02 12:00, TS,15.7,-52.7,120,944,atcf,97.803,97.507,main
23176,1953240N14340,1953,4, NA, NA,CAROL,1953-09-03 18:00, TS,20.0,-60.1,140,929,atcf,99.574,99.23100000000001,main
23180,1953240N14340,1953,4, NA, NA,CAROL,1953-09-04 18:00, TS,24.9,-64.0,115,942,atcf,96.564,97.777,main
23183,1953240N14340,1953,4, NA, NA,CAROL,1953-09-05 12:00, TS,28.8,-66.5,110,945,atcf,95.559,97.271,main
23188,1953240N14340,1953,4, NA, NA,CAROL,1953-09-06 18:00, TS,35.0,-70.0,85,962,atcf,87.38600000000001,92.369,main
23202,1953242N26279,1953,5, NA, NA,UNNAMED,1953-08-29 18:00, TS,26.3,-80.9,25,1007,atcf,5.031000000000001,21.551,main
23210,1953242N26279,1953,5, NA, NA,UNNAMED,1953-08-31 18:00, TS,30.0,-79.3,35,1008,atcf,32.623000000000005,15.950999999999999,main
23220,1953251N18295,1953,6, NA, NA,DOLLY,1953-09-09 12:00, TS,20.7,-69.4,50,1005,atcf,58.681999999999995,32.311,main
23223,1953251N18295,1953,6, NA, NA,DOLLY,1953-09-10 6:00, TS,23.0,-70.1,60,999,atcf,69.835,56.052,main
23224,1953251N18295,1953,6, NA, NA,DOLLY,1953-09-10 12:00, TS,23.9,-70.5,65,990,atcf,74.042,71.294,main
23225,1953251N18295,1953,6, NA, NA,DOLLY,1953-09-10 18:00, TS,24.9,-70.8,65,989,atcf,74.042,73.154,main
23231,1953251N18295,1953,6, NA, NA,DOLLY,1953-09-12 5:00, TS,32.3,-64.8,55,996,atcf,64.41199999999999,62.059,main
23232,1953251N18295,1953,6, NA, NA,DOLLY,1953-09-12 6:00, TS,32.7,-64.4,55,996,atcf,64.41199999999999,62.059,main
23233,1953251N18295,1953,6, NA, NA,DOLLY,1953-09-12 12:00, TS,34.7,-61.8,55,994,atcf,64.41199999999999,65.46600000000001,main
23252,1953258N19296,1953,7, NA, NA,EDNA,1953-09-15 12:00, TS,20.9,-66.8,65,995,atcf,74.042,63.38,main
23253,1953258N19296,1953,7, NA, NA,EDNA,1953-09-15 18:00, TS,21.9,-68.0,75,987,atcf,82.04299999999999,75.141,main
23256,1953258N19296,1953,7, NA, NA,EDNA,1953-09-16 12:00, TS,24.6,-70.8,80,977,atcf,85.15,84.82799999999999,main
23257,1953258N19296,1953,7, NA, NA,EDNA,1953-09-16 18:00, TS,25.8,-71.1,90,969,atcf,89.126,89.833,main
23260,1953258N19296,1953,7, NA, NA,EDNA,1953-09-17 12:00, TS,29.3,-69.1,95,966,atcf,91.67,90.855,main
23261,1953258N19296,1953,7, NA, NA,EDNA,1953-09-17 18:00, TS,30.7,-67.6,100,962,atcf,92.94,92.369,main
23283,1953259N23270,1953,8, NA, GM,UNNAMED,1953-09-17 0:00, TS,26.4,-85.0,45,1004,atcf,50.43600000000001,38.284,main
23306,1953267N15282,1953,9, NA, CS,FLORENCE,1953-09-24 18:00, TS,21.3,-85.4,55,1001,atcf,64.41199999999999,49.193000000000005,main
23309,1953267N15282,1953,9, NA, GM,FLORENCE,1953-09-25 12:00, TS,24.6,-87.6,90,968,atcf,89.126,90.116,main
23325,1953275N13325,1953,10, NA, NA,GAIL,1953-10-03 12:00, TS,14.8,-42.8,70,986,atcf,78.944,77.087,main
23358,1953275N13325,1953,10, NA, NA,GAIL,1953-10-11 18:00, TS,31.6,-59.8,50,997,atcf,58.681999999999995,59.766000000000005,main
23386,1953280N21274,1953,12, NA, GM,HAZEL,1953-10-08 18:00, TS,23.2,-85.7,45,1002,atcf,50.43600000000001,45.641999999999996,main
23396,1953280N21274,1953,12, NA, NA,HAZEL,1953-10-10 18:00, ET,32.6,-71.4,60,989,atcf,69.835,73.154,main
23426,1953327N22305,1953,13, NA, NA,UNNAMED,1953-11-24 18:00, TS,28.9,-55.1,45,999,atcf,50.43600000000001,56.052,main
23445,1954149N31280,1954,1, NA, NA,UNNAMED,1954-05-28 18:00, TS,31.3,-79.3,35,1005,atcf,32.623000000000005,32.311,main
23523,1954209N28270,1954,5, NA, NA,BARBARA,1954-07-29 10:00, TS,29.7,-92.8,50,999,atcf,58.681999999999995,56.052,main
23524,1954209N28270,1954,5, NA, NA,BARBARA,1954-07-29 12:00, TS,29.9,-93.0,50,999,atcf,58.681999999999995,56.052,main
23525,1954209N28270,1954,5, NA, NA,BARBARA,1954-07-29 18:00, TS,30.4,-93.7,40,1002,atcf,42.727,45.641999999999996,main
23534,1954238N24285,1954,6, NA, NA,CAROL,1954-08-26 18:00, TS,28.5,-76.3,45,1002,atcf,50.43600000000001,45.641999999999996,main
23536,1954238N24285,1954,6, NA, NA,CAROL,1954-08-27 6:00, TS,29.3,-76.3,50,1002,atcf,58.681999999999995,45.641999999999996,main
23537,1954238N24285,1954,6, NA, NA,CAROL,1954-08-27 12:00, TS,29.6,-76.4,60,995,atcf,69.835,63.38,main
23538,1954238N24285,1954,6, NA, NA,CAROL,1954-08-27 18:00, TS,29.8,-76.5,70,984,atcf,78.944,78.971,main
23539,1954238N24285,1954,6, NA, NA,CAROL,1954-08-28 0:00, TS,30.0,-76.7,80,981,atcf,85.15,81.437,main
23541,1954238N24285,1954,6, NA, NA,CAROL,1954-08-28 12:00, TS,30.3,-77.2,85,975,atcf,87.38600000000001,85.94,main
23550,1954238N24285,1954,6, NA, NA,CAROL,1954-08-30 18:00, TS,33.0,-77.2,95,962,atcf,91.67,92.369,main
23551,1954238N24285,1954,6, NA, NA,CAROL,1954-08-31 0:00, TS,34.2,-76.1,95,960,atcf,91.67,92.985,main
23553,1954238N24285,1954,6, NA, NA,CAROL,1954-08-31 12:00, TS,39.5,-72.8,100,955,atcf,92.94,94.709,main
23554,1954238N24285,1954,6, NA, NA,CAROL,1954-08-31 14:00, TS,40.9,-72.2,100,955,atcf,92.94,94.709,main
23555,1954238N24285,1954,6, NA, NA,CAROL,1954-08-31 15:00, TS,41.3,-72.0,100,957,atcf,92.94,94.259,main
23556,1954238N24285,1954,6, NA, NA,CAROL,1954-08-31 18:00, ET,43.1,-71.4,80,970,atcf,85.15,88.58200000000001,main
23557,1954238N24285,1954,6, NA, NA,CAROL,1954-09-01 0:00, ET,46.2,-70.9,50,987,atcf,58.681999999999995,75.141,main
23558,1954238N24285,1954,6, NA, NA,CAROL,1954-09-01 6:00, ET,48.5,-70.5,40,992,atcf,42.727,69.087,main
23565,1954244N21291,1954,7, NA, NA,DOLLY,1954-09-02 0:00, TS,34.6,-69.3,70,994,atcf,78.944,65.46600000000001,main
23587,1954248N20295,1954,8, NA, NA,EDNA,1954-09-07 12:00, TS,22.9,-72.8,65,995,atcf,74.042,63.38,main
23588,1954248N20295,1954,8, NA, NA,EDNA,1954-09-07 18:00, TS,23.6,-73.5,70,992,atcf,78.944,69.087,main
23589,1954248N20295,1954,8, NA, NA,EDNA,1954-09-08 0:00, TS,24.2,-74.3,75,990,atcf,82.04299999999999,71.294,main
23591,1954248N20295,1954,8, NA, NA,EDNA,1954-09-08 12:00, TS,25.5,-75.2,85,979,atcf,87.38600000000001,83.38,main
23592,1954248N20295,1954,8, NA, NA,EDNA,1954-09-08 18:00, TS,26.3,-75.4,95,968,atcf,91.67,90.116,main
23596,1954248N20295,1954,8, NA, NA,EDNA,1954-09-09 18:00, TS,28.8,-76.5,110,945,atcf,95.559,97.271,main
23601,1954248N20295,1954,8, NA, NA,EDNA,1954-09-11 0:00, TS,34.0,-74.8,110,943,atcf,95.559,97.65700000000001,main
23604,1954248N20295,1954,8, NA, NA,EDNA,1954-09-11 18:00, TS,41.1,-70.7,95,950,atcf,91.67,95.917,main
23605,1954248N20295,1954,8, NA, NA,EDNA,1954-09-11 18:30, TS,41.4,-70.5,95,950,atcf,91.67,95.917,main
23606,1954248N20295,1954,8, NA, NA,EDNA,1954-09-11 19:00, TS,41.7,-70.3,95,952,atcf,91.67,95.46700000000001,main
23607,1954248N20295,1954,8, NA, NA,EDNA,1954-09-11 19:30, TS,41.9,-70.1,90,954,atcf,89.126,95.07799999999999,main
23621,1954249N34316,1954,9, NA, NA,UNNAMED,1954-09-07 0:00, TS,38.0,-41.0,40,1004,atcf,42.727,38.284,main
23632,1954254N23266,1954,10, NA, GM,FLORENCE,1954-09-12 0:00, TS,21.0,-95.9,50,1001,atcf,58.681999999999995,49.193000000000005,main
23641,1954259N26271,1954,11, NA, GM,UNNAMED,1954-09-16 12:00, TS,25.8,-92.4,40,1004,atcf,42.727,38.284,main
23642,1954259N26271,1954,11, NA, GM,UNNAMED,1954-09-16 18:00, TS,25.6,-93.0,40,1004,atcf,42.727,38.284,main
23643,1954259N26271,1954,11, NA, GM,UNNAMED,1954-09-17 0:00, TS,25.4,-93.5,40,1004,atcf,42.727,38.284,main
23657,1954268N14284,1954,12, NA, CS,GILDA,1954-09-27 0:00, TS,16.6,-86.8,55,998,atcf,64.41199999999999,57.788999999999994,main
23722,1954278N12302,1954,14, NA, CS,HAZEL,1954-10-05 18:00, TS,12.1,-60.5,55,1002,atcf,64.41199999999999,45.641999999999996,main
23725,1954278N12302,1954,14, NA, CS,HAZEL,1954-10-06 12:00, TS,12.5,-64.3,70,998,atcf,78.944,57.788999999999994,main
23726,1954278N12302,1954,14, NA, CS,HAZEL,1954-10-06 18:00, TS,12.6,-65.6,70,998,atcf,78.944,57.788999999999994,main
23729,1954278N12302,1954,14, NA, CS,HAZEL,1954-10-07 12:00, TS,13.2,-68.7,70,997,atcf,78.944,59.766000000000005,main
23730,1954278N12302,1954,14, NA, CS,HAZEL,1954-10-07 18:00, TS,13.5,-69.7,70,994,atcf,78.944,65.46600000000001,main
23733,1954278N12302,1954,14, NA, CS,HAZEL,1954-10-08 12:00, TS,13.6,-71.8,75,986,atcf,82.04299999999999,77.087,main
23756,1954278N12302,1954,14, NA, NA,HAZEL,1954-10-13 18:00, TS,21.7,-73.3,85,972,atcf,87.38600000000001,87.74,main
23757,1954278N12302,1954,14, NA, NA,HAZEL,1954-10-14 0:00, TS,22.7,-73.5,85,974,atcf,87.38600000000001,86.745,main
23763,1954278N12302,1954,14, NA, NA,HAZEL,1954-10-15 12:00, TS,32.7,-78.7,115,938,atcf,96.564,98.363,main
23764,1954278N12302,1954,14, NA, NA,HAZEL,1954-10-15 15:30, TS,33.9,-78.6,115,938,atcf,96.564,98.363,main
23765,1954278N12302,1954,14, NA, NA,HAZEL,1954-10-15 18:00, ET,36.0,-78.3,80,970,atcf,85.15,88.58200000000001,main
23768,1954278N12302,1954,14, NA, NA,HAZEL,1954-10-16 12:00, ET,48.8,-80.0,50,982,atcf,58.681999999999995,80.705,main
23769,1954278N12302,1954,14, NA, NA,HAZEL,1954-10-16 18:00, ET,51.5,-79.5,45,988,atcf,50.43600000000001,74.059,main
23784,1954321N24317,1954,15, NA, NA,UNNAMED,1954-11-18 18:00, TS,24.2,-49.0,35,1005,atcf,32.623000000000005,32.311,main
23798,1954364N22309,1954,16, NA, NA,ALICE,1954-12-30 12:00, TS,22.0,-51.6,35,1007,atcf,32.623000000000005,21.551,main
23811,1954364N22309,1954,16, NA, CS,ALICE,1955-01-02 18:00, TS,18.1,-62.8,65,991,atcf,74.042,70.415,main
23812,1954364N22309,1954,16, NA, CS,ALICE,1955-01-02 21:00, TS,18.0,-63.0,65,991,atcf,74.042,70.415,main
23815,1954364N22309,1954,16, NA, CS,ALICE,1955-01-03 12:00, TS,16.8,-64.1,55,999,atcf,64.41199999999999,56.052,main
23817,1954364N22309,1954,16, NA, CS,ALICE,1955-01-04 0:00, TS,15.9,-65.0,50,1000,atcf,58.681999999999995,51.358999999999995,main
23842,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-03 18:00, TS,16.1,-44.2,40,1004,atcf,42.727,38.284,main
23850,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-05 18:00, TS,18.5,-57.9,75,985,atcf,82.04299999999999,77.843,main
23854,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-06 18:00, TS,19.6,-63.9,100,968,atcf,92.94,90.116,main
23857,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-07 12:00, TS,22.0,-67.6,115,952,atcf,96.564,95.46700000000001,main
23858,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-07 18:00, TS,22.8,-68.8,120,944,atcf,97.803,97.507,main
23861,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-08 12:00, TS,26.1,-71.8,110,944,atcf,95.559,97.507,main
23862,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-08 18:00, TS,27.0,-72.3,105,944,atcf,94.649,97.507,main
23865,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-09 12:00, TS,29.4,-73.8,100,959,atcf,92.94,93.777,main
23866,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-09 18:00, TS,30.0,-74.2,95,961,atcf,91.67,92.772,main
23869,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-10 12:00, TS,30.9,-75.8,85,972,atcf,87.38600000000001,87.74,main
23870,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-10 18:00, TS,31.1,-76.4,85,970,atcf,87.38600000000001,88.58200000000001,main
23871,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-11 0:00, TS,31.3,-76.9,80,973,atcf,85.15,87.16799999999999,main
23873,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-11 12:00, TS,32.1,-77.0,75,978,atcf,82.04299999999999,84.226,main
23874,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-11 18:00, TS,32.7,-77.1,75,977,atcf,82.04299999999999,84.82799999999999,main
23877,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-12 12:00, TS,34.3,-76.8,85,965,atcf,87.38600000000001,91.214,main
23878,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-12 15:00, TS,34.7,-76.7,85,962,atcf,87.38600000000001,92.369,main
23879,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-12 18:00, TS,35.0,-76.6,85,962,atcf,87.38600000000001,92.369,main
23880,1955215N15320,1955,2, NA, NA,CONNIE,1955-08-13 0:00, TS,36.3,-76.1,75,969,atcf,82.04299999999999,89.833,main
